Country,co2_2012,co2_2013,co2_2014
Afghanistan,10.746.512,10.006.384,98.012
Albania,4.575.536,4.786.832,5.215.536
Algeria,126.593.162.667,129.882.250.667,140.670.370.667
Andorra,0.487312,0.47632,0.461664
Angola,299.530.586.667,318.232.613.333,332.924.133.333
Antigua & Barbuda,0.523952,0.523952,0.53128
Argentina,192.624.354.667,188.684.128,199.788.770.667
Armenia,565.984,5.456.176,5.432.512
Australia,391.817.944,387.851.354.667,378.811.802.667
Austria,66.120.384,66.413.744,62.971.072
Azerbaijan,310.718.346.667,317.967.146.667,331.489.733.333
Bahamas,1.967.568,2.799.296,2.410.912
Bahrain,26.764.176,28.954.176,30.437.456
Bangladesh,64.899.136,67.961.248,70.741.168
Barbados,15.053.490.644,148.002.582.998,128.594.891.499
Belarus,60.223.888,60.760.832,60.229.296
Belgium,95.109.056,96.448.448,9.040.112
Belize,0.47632,0.51296,0.49464
Benin,5.592.496,5.937.152,643.616
Bhutan,0.817072,0.919664,1.003.936
Bolivia,185.196.693.333,188.938.613.333,204.270.106.667
Bosnia & Herzegovina,2.207.136,2.194.968,22.037.696
Botswana,50.732,54.232,70.632
Brazil,459.464.818.667,488.607.381.333,514.481.984
Brunei,7.299,7.182.664,714.940.533.333
Bulgaria,45.193.792,40.241.344,43.053.328
Burkina Faso,2.627.088,3.055.776,2.846.928
Burundi,0.282128,0.289456,0.43968
Cambodia,5.547.312,5.707.616,679.616
Cameroon,7.615.072,802.324,794.678.133.333
Canada,546.747.586.667,558.847.269.333,564.386.370.667
Cape Verde,0.505632,0.498304,0.490976
Central African Republic,0.29312,0.296784,0.300448
Chad,0.611888,0.699824,0.729136
Chile,796.817.013.333,845.523.093.333,783.471.192.259
China,972.222.184,10.181.240.944,10.328.733.568
Colombia,719.129.573.333,778.982.933.333,79.983.136
Comoros,0.142896,0.175872,0.153888
Congo,476.508,403.224.266.667,412.908.533.333
Democratic Republic Congo,2.475.184,3.703.504,482.488
Cook Islands,0.069616,0.069616,0.069616
Costa Rica,753.616,7.859.136,7.917.456
Cote d'Ivoire,8.825.312,9.786.832,10.647.056
Croatia,17.483.552,17.061.488,16.308.816
Cuba,314.833.786.667,303.027.706.667,302.895.057.756
Cyprus,702.296,6.045.024,61.264
Czech Republic,107.381.088,102.771.168,98.389.328
Denmark,378.918,397.511.626.667,3.560.844
Djibouti,0.516624,0.608224,0.721808
Dominica,0.135568,0.131904,0.135568
Dominican Republic,21.999.168,21.804.128,21.652.592
Ecuador,38.175.536,40.342.088,432.238.186.667
Egypt,217.506.834.667,200.785.213.333,200.258.109.333
El Salvador,6.708.832,6.327.232,6.378.304
Equatorial Guinea,544.910.933.333,5.100.776,503.217.333.333
Eritrea,0.67824,0.67824,0.710224
Estonia,16.681.824,19.087.168,17.743.504
Ethiopia,9.014.064,1.099.152,11.819.376
European Union (28),351.381.631.493,343.393.928.378,324.699.368.247
Fiji,1.058.896,1.150.496,1.168.816
Finland,49.404.864,50.008.528,4.587.288
France,320.574.208,3.261.068,294.151.168
Gabon,5.894.848,582.665.866.667,576.253.866.667
Gambia,0.450672,0.428688,0.509296
Georgia,737.944,749.608,8.529.744
Germany,762.528.397.333,780.938.392,74.074.044
Ghana,145.384.453.333,15.309.032,147.143.253.333
Greece,79.535.184,7.187.616,68.433.808
Grenada,0.271136,0.304112,0.241824
Guatemala,12.026.288,13.700.256,17.884.064
Guinea,2.579.456,2.297.328,2.443.888
Guinea-Bissau,0.252816,0.25648,0.271136
Guyana,1.993.216,1.934.592,2.007.872
Haiti,2.230.224,2.320.224,2.910.224
Honduras,921.104,9.296.384,9.596.384
Hungary,43.110.656,415.876,413.295.836.512
Iceland,1.86,2.03,2.04
India,192.721.681.333,199.351.690.667,215.818.068
Indonesia,429.971.386.667,440.581.386.667,477.740.632
Iran,579.408.082.667,599.820.245.333,617.425.530.667
Iraq,153.081,163.798.208,170.922.405.333
Ireland,36.287.232,35.406.608,34.856.608
Israel,767.295.706.667,709.014.079.726,680.339.999.726
Italy,379.656.816,348.952.288,33.037.224
Jamaica,7.247.392,7.730.368,7.584.032
Japan,1.236.084.816,1.258.483.312,1.217.487.664
Jordan,24.802.528,24.552.144,26.352.368
Kazakhstan,242.267.376,256.922.474.667,231.823.146.667
Kenya,12.661.984,14.220.832,15.130.976
Kiribati,0.062288,0.062288,0.062288
Korea (North),50.238.976,36.799.424,41.387.056
Korea (South),598.620.672,595.746.848,591.255.936
Kuwait,876.521.173.333,859.778.586.667,883.572.346.667
Kyrgyzstan,10.189.216,9.715.392,922.104
Laos,1.692.768,157.552,1.949.248
Latvia,7.440.672,7.408.304,7.317.232
Lebanon,23.645.408,23.545.552,25.118
Lesotho,239.992,2.432.896,2.469.536
Liberia,102.592,0.956304,0.93432
Libya,523.931.813.333,55.094.928,570.479.013.333
Liechtenstein,0.047632,0.051296,0.043968
Lithuania,11.865.632,11.264.944,10.760.672
Luxembourg,1.090.624,10.257.312,97.996
Macedonia,9.150.752,8.251.056,7.770.752
Madagascar,2.704.032,31.144,3.070.432
Malawi,1.095.536,1.220.112,1.275.072
Malaysia,206.184.213.333,222.029.232,233.506.834.667
Maldives,1.110.192,1.091.872,1.333.696
Mali,0.992944,102.592,141.064
Malta,2.7,2.37,2.34
Marshall Islands,0.102592,0.102592,0.102592
Mauritania,2.652.736,2.667.392,2.707.696
Mauritius,3.73,3.83,3.96
Mexico,478.515.290.667,468.146.488,454.214.253.333
Micronesia,0.135568,0.142896,0.150224
Moldova,8.227.232,7.271.584,7.898.528
Mongolia,17.362.208,1.878.824,18.365.184
Montenegro,2.34,2.27,2.22
Morocco,59.858.432,58.875.216,60.939.968
Mozambique,3.209.904,3.598.528,4.617.456
Myanmar,11.898,13.986.928,20.215.856
Namibia,3.489.152,376.976,3.952.736
Nauru,0.040304,0.043968,0.047632
Nepal,632.568,6.351.248,7.476.208
Netherlands,157.120.626.667,156.771.314.667,149.446.021.333
New Zealand,319.967.466.667,316.483.253.333,318.990.133.333
Nicaragua,4.737.776,4.582.432,488.808
Niger,190.664,1.794.656,1.970.992
Nigeria,952.690.906.667,938.228.666.667,8.965.636
Niue,0.007328,0.007328,0.010992
Norway,375.063.173.333,364.934.506.667,367.034.506.667
Oman,59.170.496,613.883.386.667,6.518.156
Pakistan,14.934.324,150.751.544,153.539.848
Palau,0.252816,0.25648,0.260144
Panama,10.910.496,11.049.808,11.681.872
Papua New Guinea,507.464,6.177.504,6.309.408
Paraguay,5.439.376,5.409.984,5.688.304
Peru,49.362.576,503.056.746.667,53.602.488
Philippines,902.477.973.333,100.107.013.333,106.946.221.333
Poland,304.549.167.134,299.370.526.977,286.715.378.537
Portugal,47.697.184,4.622.152,45.550.672
Qatar,749.483.386.667,768.724.373.333,819.674.906.667
Romania,82.706.352,72.711.632,72.095.136
Russian Federation,1.614.224.504,159.606.056.267,1.530.590.928
Rwanda,0.736464,0.798752,0.839056
Saint Kitts & Nevis,0.21984,0.223504,0.230832
Saint Lucia,0.406704,0.406704,0.406704
Saint Vincent & Grenadines,0.252816,0.208848,0.208848
Samoa,0.197856,0.197856,0.197856
Sao Tome & Principe,0.113584,0.113584,0.113584
Saudi Arabia,489.914.992,499.062.272,535.121.452.915
Senegal,8.007.632,8.586.784,8.720.224
Serbia,45.809.808,46.513.552,39.223.856
Seychelles,0.43968,0.40304,0.49464
Sierra Leone,1.029.584,11.908,1.308.048
Singapore,45.96,46.24,45.32
Slovakia,32.717.014.462,333.572.928.055,30.993.386.949
Slovenia,1.534.632,1.478.792,1.341.952
Solomon Islands,0.197856,0.20152,0.20152
Somalia,0.608224,0.608224,0.608224
South Africa,413.449.808,42.938.392,443.495.701.333
Spain,268.383.552,241.934.352,239.259.376
Sri Lanka,17.060.272,14.699.968,17.677.984
Sudan,13.65,13.53,13.34
Suriname,2.068.624,2.035.952,2.055.952
Swaziland,120.912,1.088.208,1.201.792
Sweden,40.406.224,38.935.072,3.866.576
Switzerland,42.780.688,43.814.352,39.876.112
Syria,41.513.944,324.602.826.667,299.019.413.333
Tajikistan,2.964.576,3.720.528,5.231.584
Tanzania,11.216.064,11.448.816,11.769.648
Thailand,254.784.816,265.425.077.333,261.059.061.333
Togo,2.418.752,2.564.016,2.555.392
Tonga,0.106256,0.113584,0.120912
Trinidad & Tobago,235.696.426.667,244.435.093.333,240.106.426.667
Tunisia,273.525.733.333,27.555.064,29.721.144
Turkey,334.502.832,319.551.706.387,342.656.253.194
Turkmenistan,66.572.768,680.672.933.333,698.112.826.667
Tuvalu,0.010992,0.010992,0.010992
Uganda,406.704,4.869.456,5.228.528
Ukraine,278.736.096,269.933.424,24.133.984
United Arab Emirates,179.432.442.667,183.152.666.667,185.262.890.667
United Kingdom,467.995.517.333,455.853.170.667,414.272.192
United States of America,508.051.587.733,5.156.351.272,5.234.240.616
Uruguay,8.616.016,7.535.024,6.680.368
Uzbekistan,1.109.892,99.774.464,101.564
Vanuatu,0.113584,0.106256,0.153888
Venezuela,192.376.378.667,186.491.170.667,188.408.618.667
Vietnam,153.559.368,159.828.648,174.555.189.333
World,337.265.163.227,343.895.959.253,347.013.738.771
Yemen,193.957.733.333,260.722.026.667,242.677.706.667
Zambia,350.776,3.751.344,4.285.536
Zimbabwe,12.176.464,12.353.568,12.138.528
